workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/Pendulum-v1/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/Value_lambda_0.1_maxfeed1400_Rbatch128_seed1
| train          | E: 6 | S: 1200 | R: 10.95 | TR: -896.39 | TF: 0 | LR: 0 | NR: 0 | D: 76.8 s | TD: 77.2 s | BR: 0.05 | ALOSS: -1.81 | CLOSS: 1.19 | TLOSS: 0.15 | TVAL: 0.10 | AENT: 0.48 | BCLOSS: 0.00
| train          | E: 7 | S: 1400 | R: 10.50 | TR: -1079.15 | TF: 0 | LR: 0 | NR: 0 | D: 77.5 s | TD: 154.7 s | BR: 0.05 | ALOSS: -3.03 | CLOSS: 0.74 | TLOSS: 0.16 | TVAL: 0.10 | AENT: 0.60 | BCLOSS: 0.00
| train          | E: 8 | S: 1600 | R: 9.75 | TR: -1293.19 | TF: 0 | LR: 0 | NR: 0 | D: 79.0 s | TD: 233.7 s | BR: 0.05 | ALOSS: -3.88 | CLOSS: 0.61 | TLOSS: 0.16 | TVAL: 0.10 | AENT: 0.64 | BCLOSS: 0.00
| train          | E: 9 | S: 1800 | R: 10.04 | TR: -1263.71 | TF: 0 | LR: 0 | NR: 0 | D: 75.9 s | TD: 309.6 s | BR: 0.05 | ALOSS: -4.69 | CLOSS: 0.57 | TLOSS: 0.15 | TVAL: 0.09 | AENT: 0.63 | BCLOSS: 0.00
| train          | E: 10 | S: 2000 | R: 10.55 | TR: -1102.28 | TF: 0 | LR: 0 | NR: 0 | D: 77.8 s | TD: 387.5 s | BR: 0.05 | ALOSS: -5.61 | CLOSS: 0.47 | TLOSS: 0.15 | TVAL: 0.09 | AENT: 0.60 | BCLOSS: 0.00
| train          | E: 11 | S: 2200 | R: 9.53 | TR: -1306.38 | TF: 0 | LR: 0 | NR: 0 | D: 80.0 s | TD: 467.5 s | BR: 0.05 | ALOSS: -6.63 | CLOSS: 0.45 | TLOSS: 0.14 | TVAL: 0.09 | AENT: 0.58 | BCLOSS: 0.00
| train          | E: 12 | S: 2400 | R: 11.78 | TR: -1076.97 | TF: 0 | LR: 0 | NR: 0 | D: 81.7 s | TD: 549.2 s | BR: 0.05 | ALOSS: -7.77 | CLOSS: 0.49 | TLOSS: 0.14 | TVAL: 0.09 | AENT: 0.56 | BCLOSS: 0.00
| train          | E: 13 | S: 2600 | R: 10.24 | TR: -1246.80 | TF: 0 | LR: 0 | NR: 0 | D: 84.0 s | TD: 633.2 s | BR: 0.05 | ALOSS: -8.81 | CLOSS: 0.56 | TLOSS: 0.13 | TVAL: 0.09 | AENT: 0.54 | BCLOSS: 0.00
| train          | E: 14 | S: 2800 | R: 6.26 | TR: -1785.34 | TF: 0 | LR: 0 | NR: 0 | D: 92.2 s | TD: 725.4 s | BR: 0.05 | ALOSS: -9.94 | CLOSS: 0.55 | TLOSS: 0.13 | TVAL: 0.08 | AENT: 0.50 | BCLOSS: 0.00
| train          | E: 15 | S: 3000 | R: 6.16 | TR: -1890.69 | TF: 0 | LR: 0 | NR: 0 | D: 94.0 s | TD: 819.4 s | BR: 0.05 | ALOSS: -11.12 | CLOSS: 0.57 | TLOSS: 0.12 | TVAL: 0.08 | AENT: 0.45 | BCLOSS: 0.00
| train          | E: 16 | S: 3200 | R: 12.39 | TR: -1199.84 | TF: 0 | LR: 0 | NR: 0 | D: 96.6 s | TD: 916.0 s | BR: 0.05 | ALOSS: -12.34 | CLOSS: 0.57 | TLOSS: 0.11 | TVAL: 0.08 | AENT: 0.40 | BCLOSS: 0.00
