workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/LunarLander-v3/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup1000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/PEBBLE_maxfeed1400_Rbatch128_seed1
| train          | E: 10 | S: 1085 | R: 0.66 | TR: -352.17 | TF: 0 | LR: 0 | NR: 0 | D: 146.5 s | TD: 147.0 s | BR: 0.01 | ALOSS: -0.64 | CLOSS: 0.64 | TLOSS: 0.30 | TVAL: 0.10 | AENT: 1.06 | BCLOSS: 0.00
| train          | E: 11 | S: 1195 | R: 0.71 | TR: -99.30 | TF: 0 | LR: 0 | NR: 0 | D: 170.9 s | TD: 317.9 s | BR: 0.01 | ALOSS: -0.91 | CLOSS: 0.19 | TLOSS: 0.31 | TVAL: 0.10 | AENT: 1.19 | BCLOSS: 0.00
| train          | E: 12 | S: 1301 | R: 0.77 | TR: -268.61 | TF: 0 | LR: 0 | NR: 0 | D: 80.5 s | TD: 398.4 s | BR: 0.01 | ALOSS: -1.10 | CLOSS: 0.05 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.28 | BCLOSS: 0.00
| train          | E: 13 | S: 1419 | R: 0.71 | TR: -262.03 | TF: 0 | LR: 0 | NR: 0 | D: 46.9 s | TD: 445.3 s | BR: 0.01 | ALOSS: -1.27 | CLOSS: 0.08 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.27 | BCLOSS: 0.00
| train          | E: 14 | S: 1502 | R: 0.89 | TR: -165.64 | TF: 0 | LR: 0 | NR: 0 | D: 32.9 s | TD: 478.2 s | BR: 0.01 | ALOSS: -1.41 | CLOSS: 0.13 | TLOSS: 0.31 | TVAL: 0.10 | AENT: 1.23 | BCLOSS: 0.00
| train          | E: 15 | S: 1612 | R: 0.46 | TR: -320.12 | TF: 0 | LR: 0 | NR: 0 | D: 45.3 s | TD: 523.5 s | BR: 0.01 | ALOSS: -1.57 | CLOSS: 0.23 | TLOSS: 0.30 | TVAL: 0.09 | AENT: 1.20 | BCLOSS: 0.00
| train          | E: 16 | S: 1712 | R: 0.76 | TR: -120.23 | TF: 0 | LR: 0 | NR: 0 | D: 41.3 s | TD: 564.8 s | BR: 0.01 | ALOSS: -1.73 | CLOSS: 0.32 | TLOSS: 0.29 | TVAL: 0.09 | AENT: 1.12 | BCLOSS: 0.00
| train          | E: 17 | S: 1787 | R: 0.50 | TR: -521.06 | TF: 0 | LR: 0 | NR: 0 | D: 31.4 s | TD: 596.2 s | BR: 0.01 | ALOSS: -1.92 | CLOSS: 0.37 | TLOSS: 0.29 | TVAL: 0.09 | AENT: 1.08 | BCLOSS: 0.00
| train          | E: 18 | S: 1927 | R: 0.61 | TR: -121.90 | TF: 0 | LR: 0 | NR: 0 | D: 59.7 s | TD: 655.9 s | BR: 0.01 | ALOSS: -2.09 | CLOSS: 0.43 | TLOSS: 0.28 | TVAL: 0.09 | AENT: 1.04 | BCLOSS: 0.00
Reward function is updated!! ACC: 0.9713541666666666
| train          | E: 19 | S: 2016 | R: 1.17 | TR: -103.61 | TF: 0 | LR: 0 | NR: 0 | D: 97.7 s | TD: 753.6 s | BR: 0.01 | ALOSS: -1.92 | CLOSS: 0.41 | TLOSS: 0.27 | TVAL: 0.09 | AENT: 0.98 | BCLOSS: 0.00
