workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/LunarLander-v3/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup1000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/Value_lambda_0.1_maxfeed1400_Rbatch128_seed1
| train          | E: 9 | S: 1055 | R: 0.85 | TR: -269.44 | TF: 0 | LR: 0 | NR: 0 | D: 95.7 s | TD: 96.2 s | BR: 0.01 | ALOSS: -0.63 | CLOSS: 0.55 | TLOSS: 0.30 | TVAL: 0.10 | AENT: 1.05 | BCLOSS: 0.00
| train          | E: 10 | S: 1147 | R: 1.48 | TR: -321.23 | TF: 0 | LR: 0 | NR: 0 | D: 162.8 s | TD: 258.9 s | BR: 0.01 | ALOSS: -0.97 | CLOSS: 0.39 | TLOSS: 0.31 | TVAL: 0.10 | AENT: 1.13 | BCLOSS: 0.00
| train          | E: 11 | S: 1249 | R: 0.38 | TR: -94.37 | TF: 0 | LR: 0 | NR: 0 | D: 120.9 s | TD: 379.8 s | BR: 0.01 | ALOSS: -1.15 | CLOSS: 0.10 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.26 | BCLOSS: 0.00
| train          | E: 12 | S: 1383 | R: 0.74 | TR: -127.03 | TF: 0 | LR: 0 | NR: 0 | D: 52.4 s | TD: 432.2 s | BR: 0.01 | ALOSS: -1.32 | CLOSS: 0.10 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.32 | BCLOSS: 0.00
| train          | E: 13 | S: 1481 | R: 1.00 | TR: -80.01 | TF: 0 | LR: 0 | NR: 0 | D: 38.8 s | TD: 470.9 s | BR: 0.01 | ALOSS: -1.50 | CLOSS: 0.11 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.29 | BCLOSS: 0.00
| train          | E: 14 | S: 1575 | R: 0.86 | TR: -363.76 | TF: 0 | LR: 0 | NR: 0 | D: 38.6 s | TD: 509.6 s | BR: 0.01 | ALOSS: -1.66 | CLOSS: 0.15 | TLOSS: 0.31 | TVAL: 0.09 | AENT: 1.26 | BCLOSS: 0.00
| train          | E: 15 | S: 1641 | R: 0.67 | TR: -380.16 | TF: 0 | LR: 0 | NR: 0 | D: 27.2 s | TD: 536.8 s | BR: 0.01 | ALOSS: -1.79 | CLOSS: 0.20 | TLOSS: 0.30 | TVAL: 0.09 | AENT: 1.21 | BCLOSS: 0.00
| train          | E: 16 | S: 1710 | R: 0.35 | TR: -134.16 | TF: 0 | LR: 0 | NR: 0 | D: 28.7 s | TD: 565.5 s | BR: 0.01 | ALOSS: -1.90 | CLOSS: 0.24 | TLOSS: 0.30 | TVAL: 0.09 | AENT: 1.22 | BCLOSS: 0.00
| train          | E: 17 | S: 1816 | R: 0.38 | TR: -81.94 | TF: 0 | LR: 0 | NR: 0 | D: 44.1 s | TD: 609.7 s | BR: 0.01 | ALOSS: -2.04 | CLOSS: 0.29 | TLOSS: 0.29 | TVAL: 0.09 | AENT: 1.18 | BCLOSS: 0.00
| train          | E: 18 | S: 1949 | R: 0.76 | TR: -88.98 | TF: 0 | LR: 0 | NR: 0 | D: 56.7 s | TD: 666.4 s | BR: 0.01 | ALOSS: -2.24 | CLOSS: 0.42 | TLOSS: 0.29 | TVAL: 0.09 | AENT: 1.13 | BCLOSS: 0.00
Reward function is updated!! ACC: 0.9713541666666666
