workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/LunarLander-v3/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/PEBBLE_maxfeed1400_Rbatch128_seed1
| train          | E: 9 | S: 1030 | R: 0.94 | TR: -81.93 | TF: 0 | LR: 0 | NR: 0 | D: 05.7 s | TD: 06.0 s | BR: 0.01 | ALOSS: -0.43 | CLOSS: 0.99 | TLOSS: 0.29 | TVAL: 0.10 | AENT: 0.87 | BCLOSS: 0.00
| train          | E: 10 | S: 1101 | R: 0.36 | TR: -106.67 | TF: 0 | LR: 0 | NR: 0 | D: 13.6 s | TD: 19.6 s | BR: 0.01 | ALOSS: -0.65 | CLOSS: 0.65 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.20 | BCLOSS: 0.00
| train          | E: 11 | S: 1199 | R: 0.58 | TR: -155.32 | TF: 0 | LR: 0 | NR: 0 | D: 19.4 s | TD: 39.0 s | BR: 0.01 | ALOSS: -0.75 | CLOSS: 0.06 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.20 | BCLOSS: 0.00
| train          | E: 12 | S: 1281 | R: 0.61 | TR: -22.72 | TF: 0 | LR: 0 | NR: 0 | D: 32.9 s | TD: 71.9 s | BR: 0.01 | ALOSS: -0.85 | CLOSS: 0.04 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.29 | BCLOSS: 0.00
| train          | E: 13 | S: 1387 | R: 0.41 | TR: -431.77 | TF: 0 | LR: 0 | NR: 0 | D: 42.3 s | TD: 114.2 s | BR: 0.01 | ALOSS: -0.96 | CLOSS: 0.06 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.28 | BCLOSS: 0.00
| train          | E: 14 | S: 1480 | R: 0.64 | TR: -623.68 | TF: 0 | LR: 0 | NR: 0 | D: 37.1 s | TD: 151.3 s | BR: 0.01 | ALOSS: -1.08 | CLOSS: 0.10 | TLOSS: 0.31 | TVAL: 0.10 | AENT: 1.25 | BCLOSS: 0.00
| train          | E: 15 | S: 1583 | R: 1.12 | TR: -548.86 | TF: 0 | LR: 0 | NR: 0 | D: 42.5 s | TD: 193.8 s | BR: 0.01 | ALOSS: -1.19 | CLOSS: 0.12 | TLOSS: 0.31 | TVAL: 0.09 | AENT: 1.23 | BCLOSS: 0.00
| train          | E: 16 | S: 1677 | R: 0.83 | TR: -62.45 | TF: 0 | LR: 0 | NR: 0 | D: 39.3 s | TD: 233.1 s | BR: 0.01 | ALOSS: -1.30 | CLOSS: 0.17 | TLOSS: 0.30 | TVAL: 0.09 | AENT: 1.18 | BCLOSS: 0.00
| train          | E: 17 | S: 1775 | R: 0.48 | TR: -567.86 | TF: 0 | LR: 0 | NR: 0 | D: 41.2 s | TD: 274.4 s | BR: 0.01 | ALOSS: -1.44 | CLOSS: 0.21 | TLOSS: 0.29 | TVAL: 0.09 | AENT: 1.10 | BCLOSS: 0.00
| train          | E: 18 | S: 1853 | R: 0.80 | TR: -352.30 | TF: 0 | LR: 0 | NR: 0 | D: 33.1 s | TD: 307.5 s | BR: 0.01 | ALOSS: -1.54 | CLOSS: 0.24 | TLOSS: 0.28 | TVAL: 0.09 | AENT: 1.03 | BCLOSS: 0.00
| train          | E: 19 | S: 1946 | R: 0.29 | TR: -588.34 | TF: 0 | LR: 0 | NR: 0 | D: 39.4 s | TD: 346.9 s | BR: 0.01 | ALOSS: -1.69 | CLOSS: 0.29 | TLOSS: 0.27 | TVAL: 0.09 | AENT: 0.93 | BCLOSS: 0.00
| train          | E: 20 | S: 2035 | R: 0.65 | TR: -299.23 | TF: 0 | LR: 0 | NR: 0 | D: 38.1 s | TD: 385.1 s | BR: 0.01 | ALOSS: -1.80 | CLOSS: 0.32 | TLOSS: 0.26 | TVAL: 0.09 | AENT: 0.89 | BCLOSS: 0.00
| train          | E: 21 | S: 2110 | R: 0.49 | TR: -691.48 | TF: 0 | LR: 0 | NR: 0 | D: 32.9 s | TD: 418.0 s | BR: 0.01 | ALOSS: -1.97 | CLOSS: 0.42 | TLOSS: 0.25 | TVAL: 0.09 | AENT: 0.83 | BCLOSS: 0.00
| train          | E: 22 | S: 2181 | R: 0.36 | TR: -614.90 | TF: 0 | LR: 0 | NR: 0 | D: 31.2 s | TD: 449.1 s | BR: 0.01 | ALOSS: -2.11 | CLOSS: 0.48 | TLOSS: 0.25 | TVAL: 0.09 | AENT: 0.77 | BCLOSS: 0.00
| train          | E: 23 | S: 2283 | R: 0.88 | TR: -452.06 | TF: 0 | LR: 0 | NR: 0 | D: 45.8 s | TD: 494.9 s | BR: 0.01 | ALOSS: -2.25 | CLOSS: 0.55 | TLOSS: 0.25 | TVAL: 0.09 | AENT: 0.76 | BCLOSS: 0.00
| train          | E: 24 | S: 2384 | R: 1.44 | TR: -544.35 | TF: 0 | LR: 0 | NR: 0 | D: 45.5 s | TD: 540.4 s | BR: 0.01 | ALOSS: -2.41 | CLOSS: 0.63 | TLOSS: 0.24 | TVAL: 0.09 | AENT: 0.74 | BCLOSS: 0.00
| train          | E: 25 | S: 2490 | R: 0.59 | TR: -204.95 | TF: 0 | LR: 0 | NR: 0 | D: 48.6 s | TD: 589.0 s | BR: 0.01 | ALOSS: -2.56 | CLOSS: 0.74 | TLOSS: 0.24 | TVAL: 0.09 | AENT: 0.70 | BCLOSS: 0.00
| train          | E: 26 | S: 2576 | R: 1.96 | TR: -597.22 | TF: 0 | LR: 0 | NR: 0 | D: 40.4 s | TD: 629.3 s | BR: 0.01 | ALOSS: -2.80 | CLOSS: 0.99 | TLOSS: 0.23 | TVAL: 0.09 | AENT: 0.66 | BCLOSS: 0.00
| train          | E: 27 | S: 2699 | R: 0.41 | TR: -624.60 | TF: 0 | LR: 0 | NR: 0 | D: 57.5 s | TD: 686.8 s | BR: 0.01 | ALOSS: -3.01 | CLOSS: 1.04 | TLOSS: 0.22 | TVAL: 0.09 | AENT: 0.61 | BCLOSS: 0.00
| train          | E: 28 | S: 2808 | R: 1.23 | TR: -481.60 | TF: 0 | LR: 0 | NR: 0 | D: 51.6 s | TD: 738.4 s | BR: 0.01 | ALOSS: -3.22 | CLOSS: 1.13 | TLOSS: 0.22 | TVAL: 0.09 | AENT: 0.58 | BCLOSS: 0.00
| train          | E: 29 | S: 2896 | R: 0.59 | TR: -335.97 | TF: 0 | LR: 0 | NR: 0 | D: 41.6 s | TD: 780.1 s | BR: 0.01 | ALOSS: -3.43 | CLOSS: 2.51 | TLOSS: 0.21 | TVAL: 0.08 | AENT: 0.54 | BCLOSS: 0.00
| train          | E: 30 | S: 3066 | R: 0.80 | TR: -361.74 | TF: 0 | LR: 0 | NR: 0 | D: 82.1 s | TD: 862.1 s | BR: 0.01 | ALOSS: -3.81 | CLOSS: 3.15 | TLOSS: 0.21 | TVAL: 0.08 | AENT: 0.46 | BCLOSS: 0.00
| train          | E: 31 | S: 3207 | R: 0.05 | TR: -498.79 | TF: 0 | LR: 0 | NR: 0 | D: 69.7 s | TD: 931.8 s | BR: 0.01 | ALOSS: -4.65 | CLOSS: 4.55 | TLOSS: 0.20 | TVAL: 0.08 | AENT: 0.38 | BCLOSS: 0.00
