workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/LunarLander-v3/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/Value_lambda_0.1_maxfeed1400_Rbatch128_seed1
| train          | E: 10 | S: 1054 | R: 1.26 | TR: -102.73 | TF: 0 | LR: 0 | NR: 0 | D: 21.1 s | TD: 21.4 s | BR: 0.01 | ALOSS: -0.54 | CLOSS: 0.93 | TLOSS: 0.30 | TVAL: 0.10 | AENT: 1.03 | BCLOSS: 0.00
| train          | E: 11 | S: 1156 | R: 0.62 | TR: -70.06 | TF: 0 | LR: 0 | NR: 0 | D: 39.7 s | TD: 61.1 s | BR: 0.01 | ALOSS: -0.79 | CLOSS: 0.37 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.20 | BCLOSS: 0.00
| train          | E: 12 | S: 1238 | R: 0.83 | TR: -216.32 | TF: 0 | LR: 0 | NR: 0 | D: 32.0 s | TD: 93.2 s | BR: 0.01 | ALOSS: -0.92 | CLOSS: 0.07 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.29 | BCLOSS: 0.00
| train          | E: 13 | S: 1318 | R: 0.19 | TR: -94.86 | TF: 0 | LR: 0 | NR: 0 | D: 31.4 s | TD: 124.5 s | BR: 0.01 | ALOSS: -1.01 | CLOSS: 0.08 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.33 | BCLOSS: 0.00
| train          | E: 14 | S: 1389 | R: 0.59 | TR: -106.68 | TF: 0 | LR: 0 | NR: 0 | D: 28.2 s | TD: 152.7 s | BR: 0.01 | ALOSS: -1.13 | CLOSS: 0.14 | TLOSS: 0.32 | TVAL: 0.10 | AENT: 1.32 | BCLOSS: 0.00
| train          | E: 15 | S: 1498 | R: 0.58 | TR: -84.20 | TF: 0 | LR: 0 | NR: 0 | D: 44.0 s | TD: 196.7 s | BR: 0.01 | ALOSS: -1.21 | CLOSS: 0.18 | TLOSS: 0.31 | TVAL: 0.10 | AENT: 1.28 | BCLOSS: 0.00
| train          | E: 16 | S: 1582 | R: 0.68 | TR: -95.44 | TF: 0 | LR: 0 | NR: 0 | D: 34.3 s | TD: 231.0 s | BR: 0.01 | ALOSS: -1.32 | CLOSS: 0.23 | TLOSS: 0.31 | TVAL: 0.09 | AENT: 1.23 | BCLOSS: 0.00
| train          | E: 17 | S: 1683 | R: 0.64 | TR: -85.31 | TF: 0 | LR: 0 | NR: 0 | D: 41.7 s | TD: 272.7 s | BR: 0.01 | ALOSS: -1.41 | CLOSS: 0.30 | TLOSS: 0.30 | TVAL: 0.09 | AENT: 1.18 | BCLOSS: 0.00
| train          | E: 18 | S: 1785 | R: 0.26 | TR: -182.14 | TF: 0 | LR: 0 | NR: 0 | D: 42.3 s | TD: 315.1 s | BR: 0.01 | ALOSS: -1.53 | CLOSS: 0.34 | TLOSS: 0.29 | TVAL: 0.09 | AENT: 1.15 | BCLOSS: 0.00
| train          | E: 19 | S: 1887 | R: 0.59 | TR: -133.56 | TF: 0 | LR: 0 | NR: 0 | D: 43.2 s | TD: 358.2 s | BR: 0.01 | ALOSS: -1.66 | CLOSS: 0.42 | TLOSS: 0.28 | TVAL: 0.09 | AENT: 1.09 | BCLOSS: 0.00
| train          | E: 20 | S: 2038 | R: 0.49 | TR: -71.04 | TF: 0 | LR: 0 | NR: 0 | D: 64.8 s | TD: 423.0 s | BR: 0.01 | ALOSS: -1.79 | CLOSS: 0.45 | TLOSS: 0.28 | TVAL: 0.09 | AENT: 1.06 | BCLOSS: 0.00
