workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/Pendulum-v1/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/PEBBLE_maxfeed1400_Rbatch128_seed1
| train          | E: 6 | S: 1200 | R: 8.95 | TR: -1393.90 | TF: 0 | LR: 0 | NR: 0 | D: 38.0 s | TD: 38.3 s | BR: 0.05 | ALOSS: -1.83 | CLOSS: 0.85 | TLOSS: 0.15 | TVAL: 0.10 | AENT: 0.55 | BCLOSS: 0.00
| train          | E: 7 | S: 1400 | R: 8.91 | TR: -1441.06 | TF: 0 | LR: 0 | NR: 0 | D: 39.2 s | TD: 77.5 s | BR: 0.05 | ALOSS: -2.84 | CLOSS: 0.46 | TLOSS: 0.16 | TVAL: 0.10 | AENT: 0.62 | BCLOSS: 0.00
| train          | E: 8 | S: 1600 | R: 6.89 | TR: -1713.48 | TF: 0 | LR: 0 | NR: 0 | D: 40.8 s | TD: 118.3 s | BR: 0.05 | ALOSS: -3.47 | CLOSS: 0.38 | TLOSS: 0.15 | TVAL: 0.10 | AENT: 0.62 | BCLOSS: 0.00
| train          | E: 9 | S: 1800 | R: 11.20 | TR: -1094.63 | TF: 0 | LR: 0 | NR: 0 | D: 42.9 s | TD: 161.2 s | BR: 0.05 | ALOSS: -4.39 | CLOSS: 0.35 | TLOSS: 0.15 | TVAL: 0.09 | AENT: 0.57 | BCLOSS: 0.00
| train          | E: 10 | S: 2000 | R: 11.28 | TR: -1012.59 | TF: 0 | LR: 0 | NR: 0 | D: 44.9 s | TD: 206.1 s | BR: 0.05 | ALOSS: -5.33 | CLOSS: 0.40 | TLOSS: 0.14 | TVAL: 0.09 | AENT: 0.56 | BCLOSS: 0.00
| train          | E: 11 | S: 2200 | R: 11.94 | TR: -874.24 | TF: 0 | LR: 0 | NR: 0 | D: 46.8 s | TD: 252.9 s | BR: 0.05 | ALOSS: -6.23 | CLOSS: 0.45 | TLOSS: 0.14 | TVAL: 0.09 | AENT: 0.53 | BCLOSS: 0.00
| train          | E: 12 | S: 2400 | R: 10.52 | TR: -836.55 | TF: 0 | LR: 0 | NR: 0 | D: 48.5 s | TD: 301.4 s | BR: 0.05 | ALOSS: -7.06 | CLOSS: 0.43 | TLOSS: 0.14 | TVAL: 0.09 | AENT: 0.54 | BCLOSS: 0.00
| train          | E: 13 | S: 2600 | R: 9.50 | TR: -1349.91 | TF: 0 | LR: 0 | NR: 0 | D: 50.7 s | TD: 352.1 s | BR: 0.05 | ALOSS: -7.86 | CLOSS: 0.45 | TLOSS: 0.14 | TVAL: 0.09 | AENT: 0.56 | BCLOSS: 0.00
| train          | E: 14 | S: 2800 | R: 11.50 | TR: -767.99 | TF: 0 | LR: 0 | NR: 0 | D: 52.1 s | TD: 404.3 s | BR: 0.05 | ALOSS: -8.75 | CLOSS: 0.39 | TLOSS: 0.13 | TVAL: 0.08 | AENT: 0.58 | BCLOSS: 0.00
| train          | E: 15 | S: 3000 | R: 10.85 | TR: -969.49 | TF: 0 | LR: 0 | NR: 0 | D: 54.0 s | TD: 458.2 s | BR: 0.05 | ALOSS: -9.70 | CLOSS: 0.36 | TLOSS: 0.13 | TVAL: 0.08 | AENT: 0.58 | BCLOSS: 0.00
| train          | E: 16 | S: 3200 | R: 10.94 | TR: -856.59 | TF: 0 | LR: 0 | NR: 0 | D: 56.2 s | TD: 514.4 s | BR: 0.05 | ALOSS: -10.63 | CLOSS: 0.34 | TLOSS: 0.13 | TVAL: 0.08 | AENT: 0.53 | BCLOSS: 0.00
